Research Activity,Stream,PDF,Percentage Distribution
condescending to customers,DS,0.37015726444483665,0.16%
giving speeches,CS,0.1345469507633805,0.06%
cooking chrystal meth,DS,0.003273568071669295,0.00%
solving mysteries,DS,0.378880515210387,0.24%
counting money,DS,0.2776908170902675,0.08%
singing pop songs,CS+DS,0.12068864950101561,0.08%
singing pop songs,DS,0.30807419866403546,0.20%
cracking the whip,CS+DS,0.27414725207584373,0.14%
terrorizing sleepers,DS,0.11451411659715816,0.08%
singing romantic songs,CS,0.10486648168007894,0.06%
eluding electronic ghosts,DS,0.2992612793053919,0.06%
seducing women,CS+DS,0.38687617400279517,0.18%
playing camp villains,CS,0.3989029754264271,0.18%
giving investment advice,CS,0.2861663892310623,0.16%
promoting conservative values,CS+DS,0.2937700821252486,0.16%
tricking criminals,DS,0.37797337151720706,0.20%
starring in Hollywood movies,CS+DS,0.3980985833295948,0.26%
starring in pornographic movies,CS,0.3465568942637705,0.22%
writing modern fiction,CS,0.16127911734561373,0.10%
performing household chores,CS+DS,0.1162900464999757,0.04%
building giant walls,CS,0.2781203338117557,0.06%
painting colorful pictures,CS,0.39007969428797173,0.22%
building giant walls,CS+DS,0.29364582212877377,0.14%
reporting for The Daily Planet,DS,0.2694836181573198,0.16%
dreaming of yesteryear,DS,0.3204072710126314,0.20%
writing about history,CS,0.36287358915512313,0.32%
breaking bones,DS,0.39877891902186646,0.34%
leading armies into battle,CS+DS,0.39255586929179775,0.14%
playing soccer,CS,0.3852360398214988,0.14%
guarding the galaxy,DS,0.11836226417897623,0.00%
issuing fatwas,CS+DS,0.35827565240203224,0.16%
playing rock guitar,DS,0.3988437048936544,0.24%
singing melancholy songs,CS+DS,0.2670700093276258,0.10%
amassing ill-gotten wealth,DS,0.3866933710926198,0.24%
fighting for democracy,CS+DS,0.11622839392214775,0.10%
solving crimes,DS,0.29412404029743755,0.14%
singing on TV shows,DS,0.3687268338336719,0.22%
studying magic tricks,DS,0.38991737391648396,0.08%
devising evil schemes,DS,0.2583600547608627,0.06%
watching the sun rise,DS,0.022662576132708244,0.02%
promoting conservative values,CS,0.39857581734871045,0.12%
running an empire,CS+DS,9.160646444812985E-4,0.00%
ranting about politics,CS+DS,0.39839088578966253,0.20%
singing pop songs,CS,0.05391275306320848,0.00%
winning boxing matches,CS+DS,0.3393572912327421,0.12%
making unauthorized sex tapes,CS+DS,0.3503496865286576,0.06%
defending the weak,DS,0.3864442475312796,0.18%
developing advertising campaigns,DS,0.38518007540247473,0.28%
avenging loved ones,DS,0.18505208398923934,0.10%
hiding from the public,CS,0.36531312265141963,0.18%
brokering peace deals,CS,0.3892285860256925,0.14%
ranting about religion,CS,0.3735902505592135,0.28%
developing military strategies,CS,0.17078426601417346,0.08%
eluding Republicans,DS,0.34206991333609615,0.12%
gyrating hips,CS,0.23850152212876707,0.20%
writing poetry,CS+DS,0.23088812590528493,0.12%
rescuing kids,CS,0.39801863975206253,0.12%
pioneering new technologies,CS+DS,0.2939080151898728,0.06%
studying mathematics,CS,0.3972370063487944,0.28%
inventing electrical marvels,DS,0.38648057463688457,0.12%
running for the senate,CS+DS,0.11488258367591847,0.06%
representing the disenfranchised,DS,0.31419197915561825,0.18%
guarding the galaxy,DS,0.24905891456402415,0.20%
campaigning for social causes,CS+DS,0.11640414608163915,0.04%
exploring darkest Africa,DS,0.39603499834231043,0.16%
promoting big business,CS+DS,0.3052731784481751,0.20%
fighting for democracy,CS+DS,0.38180535897566004,0.16%
writing blues songs,CS+DS,0.3985139961863872,0.20%
singing pop songs,CS+DS,0.39242036887216497,0.14%
building an army,DS,0.22991584534089207,0.16%
reading braille,CS,0.2613665803866196,0.20%
punishing terrorists,DS,0.29158774868812737,0.16%
interpreting evidence,DS,0.0700849688235945,0.06%
seeking revenge,DS,0.38095749217747765,0.14%
grabbing power,DS,0.3895562144083576,0.18%
running Ponzi schemes,CS+DS,0.3035670763832239,0.02%
writing pop songs,CS+DS,0.39291023840820993,0.12%
teaching philosophy,CS,0.0826457951298155,0.04%
keeping a diary,CS+DS,0.3189948714648592,0.12%
making witty remarks,CS+DS,0.31700309932885157,0.18%
piloting a spaceship,DS,0.3807790869147948,0.22%
climbing social ladders,DS,0.3979184949601501,0.20%
running races,CS,0.3907850376739234,0.12%
analyzing the sub-conscious,CS+DS,0.317548556440988,0.16%
making dunk shots,CS+DS,0.08567842060266126,0.04%
promoting conservative values,CS,0.3541829027122197,0.08%
making dumb comedies,CS+DS,0.20302172229153348,0.06%
postulating bizarre theories,DS,0.07607208219090439,0.02%
feeding the poor,CS+DS,0.39676975468706566,0.16%
amassing nuclear weapons,CS+DS,0.2966182890038786,0.08%
starring in action movies,CS+DS,0.31237203737531605,0.20%
writing pop songs,CS+DS,0.31839867309624087,0.12%
selling fried chicken,CS+DS,0.24193772182818304,0.10%
chasing interns,CS+DS,0.39892611901693975,0.28%
studying economics,CS+DS,0.2385872051711882,0.10%
singing torch songs,CS,0.39857886565442524,0.06%
running a kingdom,DS,0.052746127962633484,0.00%
expressing violent urges,DS,0.3912920008904037,0.28%
developing cunning plans,DS,0.3574519959887737,0.12%
singing torch songs,CS,0.3954717884207814,0.14%
studying the cosmos,CS,0.19779359140748146,0.02%
campaigning for world peace,CS+DS,0.13524115083783425,0.04%
shagging spies,DS,0.3988603012803629,0.16%
looking after children,DS,0.39436047263326685,0.24%
finding clues,DS,0.07324159858593877,0.02%
seducing emperors,CS+DS,0.2818594243807819,0.04%
postulating bizarre theories,CS+DS,0.3665185556832853,0.14%
assassinating presidents,CS,0.3126905443092474,0.10%
wielding political power,CS+DS,0.33322889074885176,0.18%
counting tooth picks,DS,0.25614749549627336,0.10%
investing in real estate,CS+DS,0.2839109041041207,0.18%
studying dinosaurs,DS,0.23140568589670713,0.22%
making political gaffes,CS+DS,0.12765587606846174,0.08%
running a kingdom,CS,0.3931581301774637,0.06%
writing comedy,CS+DS,0.0950751214075494,0.10%
solving mysteries,DS,0.39882051237255256,0.24%
barking orders at subordinates,CS+DS,0.37685366790302893,0.14%
providing comic relief,DS,0.25971117542686284,0.12%
seducing kings,CS+DS,0.3987601655993381,0.14%
slashing victims,DS,0.3957212300049793,0.20%
singing pop songs,CS+DS,0.06530602959166883,0.02%
singing pop songs,CS,0.3988969553834011,0.18%
being a good neighbor,DS,0.20577460874063072,0.06%
popping Viagra,CS,0.33497622629830737,0.20%
