Research Activity,Stream,PDF,Percentage Distribution
plotting against family members,DS,0.39894209505223055,0.42%
hacking into corporate mainframes,DS,0.10987792746970337,0.13%
deep-frying chicken,DS,0.3500037883313924,0.25%
starring in indy movies,CS,0.21915566895217004,0.25%
writing rap songs,CS,0.03733836853978669,0.00%
starting thunderstorms,DS,0.3844734229029676,0.29%
recruiting dissidents,CS,0.06611180542506043,0.13%
writing Russian novels,CS,0.3645619942707654,0.25%
writing pop songs,CS,0.39496524792709536,0.38%
lecturing about climate change,CS+DS,0.3986681997357084,0.46%
devising evil schemes,DS,0.39008229914033843,0.21%
flying airplanes,CS,0.3243143219881969,0.42%
spouting movie trivia,DS,0.3817550697332298,0.13%
promoting conservative values,CS,0.39353458981013184,0.46%
shagging spies,DS,0.39863284313203723,0.38%
performing stand-up,CS+DS,0.3368492800045557,0.13%
playing rock guitar,CS+DS,0.29182616115668936,0.42%
ranting about liberals,CS,0.10793196488243381,0.08%
making insipid musicals,CS,0.2941588542672865,0.25%
inventing electrical marvels,DS,0.3532625148676939,0.38%
building rocket ships,DS,0.3976681364847333,0.33%
singing experimental songs,CS+DS,0.13827122016531265,0.21%
planning tank battles,CS+DS,0.15115612197756062,0.13%
running a criminal empire,DS,0.3262472325855802,0.38%
going slowly mad,CS,0.25016183630815503,0.33%
disciplining students,DS,0.2189775911559689,0.13%
testing new technologies,CS+DS,0.3955410759618467,0.29%
making suspense movies,CS+DS,0.1363468437553573,0.08%
developing political strategies,DS,0.061387042801558565,0.08%
developing cunning plans,CS,0.3976523566415995,0.42%
maintaining a secret identity,DS,0.30766963161268635,0.25%
frowning at errant husbands,DS,0.24941034249700475,0.08%
climbing down chimneys,DS,0.3557235460548936,0.13%
fighting barbarian hordes,DS,0.2828493377336583,0.17%
playing soccer,CS,0.3418700650698444,0.25%
running an empire,CS+DS,0.3517908735276046,0.25%
rescuing aristocrats,DS,0.3489841391928745,0.38%
singing pop songs,CS+DS,0.3982575091298457,0.42%
playing tough guys,CS,0.34746519531882225,0.33%
interviewing celebrities,CS,0.36928562495082823,0.38%
making provocative documentaries,CS,0.3453193571763706,0.42%
directing action movies,CS,0.04348243285233723,0.04%
singing blues songs,CS,0.31374521868512695,0.17%
playing baseball,DS,0.32201923820742634,0.38%
studying the cosmos,CS,0.2787349917651147,0.33%
interviewing celebrities,CS+DS,0.3754009861710296,0.42%
pushing haute couture,CS+DS,0.3585805822634582,0.42%
running a media empire,CS+DS,0.2853508905076533,0.29%
selling kitsch,CS,0.3946413380593774,0.33%
tilting at windmills,DS,0.3447638009416166,0.42%
starring in action movies,CS,0.3946564065383821,0.33%
fighting for democracy,CS+DS,0.398030953173762,0.29%
singing Hipbop songs,CS+DS,0.34944607854654897,0.50%
seeking revenge,DS,0.07327725915021278,0.08%
promoting boxing fights,CS,0.24069294871857874,0.33%
foiling the schemes of evil villains,DS,0.031670147736852144,0.00%
running a tech giant,CS,0.39351033115222567,0.29%
performing household chores,CS+DS,0.3505611521148386,0.50%
making racist jibes,DS,0.3779332912105294,0.50%
starring in Hollywood movies,CS+DS,0.15900208817449363,0.13%
finding clues,DS,0.3760368013029678,0.33%
making prank calls,DS,0.055125731688016835,0.00%
maintaining a secret identity,DS,0.21397566822945754,0.13%
making vulgar jokes,CS,0.09708704182620762,0.04%
going for a spacewalk,CS,0.21930030578743823,0.29%
composing classical music,CS+DS,0.37718412259403566,0.54%
